A1;;;
A2;;;
A4;;;
A5;;;
A6;;;
A7;;;
A8;;;
A9;;;
A10;;;
abducens nucleus;6nf;Abducens nerve, Abducens nerve fibers, Abducens nucleus proper, Abducens nerve root, abducens nerve nucleus, Nucleus abducens, Nucleus nervi abducentis,abducens nuclei,abducens;
accessory abducens nucleus;;;
accessory basal amygdaloid nucleus;ABA;accessory basal nucleus, basomedial amygdaloid nucleus, medial principal nucleus;
accessory basal nuclei;;;
Accessory cuneate nucleus;ACu;external cuneate nucleus, lateral cuneate nucleus, Nucleus cuneatus accessorius, Nucleus cuneatus lateralis;
Accessory facial nucleus;;;
accessory inferior olive;;;
accessory lobes of Lachi;;;
accessory medulla;;;
Accessory medullary lamina;aml;;
Accessory nerve fiber bundle;;;
accessory oculomotor nuclear region;;;
Accessory olfactory bulb;;;
Accessory optic tract;;;
Accessory spinal nerve;;;
accumbal;;;
accumbens nucleus;;accumbens;
acd;;;
Adenohypophysis;AHP;anterior lobe of hypophysis, anterior lobe of pituitary, Lobus anterior;
adrenal;;;
aggregate regional part of brain;;;
agranular and dysgranular insula;;;
agranular cortices;;;
agranular frontal cortex;;;
agranular insula;;;
Agranular insular area;AId;agranular insular cortex;
agranular medial field;;;
agranular parietal insular cortex;;;
Agranular posterior insular cortex;;;
Agranular;;;
AH;;;
Ail;;;
Alar central lobule;ACL;central lobule, Ala lobuli centralis;
Allocortex;;;
alveus;alv;Alveus hippocampi;
ambiguous;;ambiguous nucleus,ambiguus;
Amiculum of dentate nucleus;amdt;;
Ammon Horn;;Ammon's horn;
ampulla;;ampullary;
Amygdala;AMG;AMG, amygdaloid body, Amygdalar capsule, amygdaloid nuclear complex, amygdaloid nucleus, archistriatum, Corpus amygdalae, Corpus amygdaloideum, nucleus amygdalae,amygdalar;
amygdalohippocampal;;;
amygdaloid central nucleus;;;
amygdaloid complex;;amygdaloid;
amygdaloid nuclear complex;;;
Angular gyrus;AnG;prelunate gyrus, preoccipital gyrus, Gyrus angularis;
Annectant gyrus;AG;;
Ansa lenticularis;al;;
Ansa peduncularis;;;
Ansiform lobule;;;
Ansoparamedian fissure;apmf;;
Antenna lobe of Manduca;;antennal lobes,antennal-lobe,antennal lobe;
Antennal nerve;;;
Anteriomedial NIA;;;
Anterior amygdaloid area;AAA;anterior amygdaloid area;
Anterior cingulate cortex;1, 2;anterior cingulate area, dorsal part of the anterior cingulate area, ventral part of the anterior cingulate area, dorsal and ventral cingulate areas;
Anterior cingulate gyrus;ACgG;anterior cingulate, Gyrus cinguli anterior;
Anterior column of fornix;afx;anterior column;
Anterior commissure;;;
Anterior commissure anterior part; aca;olfactory limb of the anterior commissure;
anterior commissure proper;;;
Anterior commissure temporal limb;;temporal limb of the anterior commissure;
Anterior dorsal nucleus;;;
Anterior dorsal ventricular ridge;ADVR;;
Anterior ectosylvian;;;
Anterior group of the dorsal thalamus;;;
Anterior hindlimb;;;
Anterior horn of lateral ventricle;FLV;frontal horn of the lateral ventricle,  frontal horn, frontal horn of lateral ventricle;
Anterior hypothalamic area proper;;;
Anterior hypothalamic central part;;;
Anterior hypothalamic dorsal part;;;
Anterior hypothalamic nucleus anterior part;;;
Anterior hypothalamic nucleus;;;
Anterior hypothalamic posterior part;;;
Anterior hypothalamic region;AHR;preoptic division, Area hypothalamica rostralis,Anterior hypothalamic area,anterior hypothalamus;
anterior infundibulum;;;
anterior insula;;;
Anterior insuloamygdaloid;;;
anterior interpositus nucleus;;;
anterior intralaminar nuclei;;;
anterior intraparietal area;;;
Anterior laterolateral visual area;;;
Anterior limb of internal capsule;aic;;
anterior limbic cortex;;;
Anterior lobe of the cerebellum;ALCb;anterior cerebellar lobe, anterior lobe of cerebellum, spinocerebellum, Paleocerebellum;
anterior lobe;;anterior lobule;
anterior medial nucleus;;;
Anterior median eminence;AME;;
Anterior median oculomotor nucleus;AM3;;
anterior medulla;;;
anterior neostriatum;;;
Anterior nuclear group;ANG;anterior nuclei of thalamus, anterior nucleus of thalamus, anterior thalamic nuclei, anterior thalamic nucleus, anterior thalamus, Nuclei anteriores (thalami), Nuclei anteriores thalami, Nucleus anterior thalami;
Anterior nucleus of hypothalamus central part;;;
Anterior nucleus of hypothalamus dorsal part;;;
Anterior nucleus of hypothalamus posterior part;;;
Anterior nucleus of hypothalamus;AH;anterior hypothalamic area, anterior hypothalamic nucleus, Nucleus anterior hypothalami, Nucleus hypothalamicus anterio,anterior hypothalamic;
Anterior octaval nucleus;;;
Anterior olfactory nucleus dorsal part molecular layer;;;
Anterior olfactory nucleus dorsal part pyramidal layer;;;
Anterior olfactory nucleus dorsal part;;Dorsal anterior olfactory nucleus;
Anterior olfactory nucleus external part molecular layer;;;
Anterior olfactory nucleus external part pyramidal layer;;;
Anterior olfactory nucleus external part;;External anterior olfactory nucleus;
Anterior olfactory nucleus lateral part molecular layer;;;
Anterior olfactory nucleus lateral part pyramidal layer;;;
